go	geh
it was on sale	er stand zum verkauf an
it was perfect	es war perfekt
it was snowing	es schneite
it was snowing	es hat geschneit
it was so dark	es war so dunkel
it wasnt easy	es war nicht leicht
it wasnt easy	das war nicht leicht
it wasnt hard	es war nicht schwer
it wasnt mine	es war nicht meines
it wasnt mine	es war nicht meins
it wasnt mine	es war nicht meine
it wasnt ours	es war nicht unserer
it wasnt ours	es war nicht unsere
it wasnt ours	es war nicht unseres
it will happen	es wird geschehen
it works great	es funktioniert bestens
itll be great	es wird toll
itll be there	es wird da sein
its christmas	es ist weihnachten
its ok to cry	es ist nichts dabei zu weinen
its toms car	das ist toms wagen
its toms job	es ist toms job
its wednesday	heute ist mittwoch
its a bargain	abgemacht
its a big one	das ist ein groer
its a classic	das ist ein klassiker
its a hot day	es ist ein heier tag
its a new day	es ist ein neuer tag
its a problem	es ist ein problem
its a problem	das ist ein problem
its a promise	es ist ein versprechen
its admirable	es ist bewundernswert
its all toms	das gehort alles tom
its all right	alles ist gut
its all right	das ist in ordnung
its an ambush	es ist ein uberfall
its an ambush	es ist ein hinterhalt
its an insult	es ist eine beleidigung
its beautiful	das ist schon
its beyond me	das ist mir zu hoch
its beyond me	das ubersteigt meinen horizont
its brand new	es ist brandneu
its brand new	er ist nagelneu
its brand new	sie ist nagelneu
its cold here	es ist kalt hier
its confusing	das verwirrt
its dangerous	das ist gefahrlich
its delicious	das ist kostlich
its delicious	es ist lecker
its different	das ist etwas anderes
its difficult	es ist schwierig
its forbidden	das ist verboten
its grotesque	es ist skurril
its hot today	es ist heute hei
its hot today	heute ist es hei
its hot today	es ist warm heute
its hot today	es ist heute warm
its important	das ist wichtig
its important	es ist wichtig
its incorrect	es ist inkorrekt
its marvelous	es ist wunderbar
its no secret	es ist kein geheimnis
its no secret	das ist kein geheimnis
its not a dog	ein hund ist es nicht
its not a dog	das ist kein hund
its not blood	das ist kein blut
its not clean	es ist nicht sauber
its not funny	das ist nicht lustig
its not funny	es ist nicht lustig
its not funny	das ist nicht zum lachen
its not there	es ist nicht da
its not yours	es gehort nicht dir
its on page	es ist auf seite
its our fault	das ist unsere schuld
its pointless	es hat keinen zweck
its pointless	es hat keinen sinn
its pointless	es ist sinnlos
its redundant	das ist uberflussig
its rush hour	es ist hauptverkehrszeit
its rush hour	es ist hauptgeschaftszeit
its rush hour	es ist stozeit
its safe here	hier ist es sicher
its so boring	das ist so langweilig
its so simple	es ist so einfach
its so unfair	es ist so ungerecht
its so unfair	es ist so unfair
its the truth	es ist die wahrheit
its their job	das ist ihre aufgabe
its there now	es ist jetzt da
its this book	es ist dieses buch
its too large	das ist zu gro
its too quiet	es ist zu ruhig
its too risky	das ist zu riskant
its too short	das ist zu kurz
its too small	es ist zu klein
its up to you	es liegt bei dir
its up to you	es ist deine entscheidung
its up to you	das hangt von dir ab
its very cold	es ist sehr kalt
its very dark	es ist sehr dunkel
its very dark	es ist zu dunkel
its very good	es ist sehr gut
its very loud	es ist sehr laut
its well done	das geschieht dir recht
its what i do	das ist was ich tue
its wonderful	es ist wunderbar
its your book	das ist dein buch
its your duty	es ist deine pflicht
its your duty	es ist ihre pflicht
its your duty	es ist eure pflicht
its your home	es ist deine wohnung
its your home	es ist eure wohnung
its your home	es ist ihre wohnung
its your move	du bist am zug
its your turn	du bist dran
its your turn	du bist am zug
its your turn	du bist an der reihe
just apologize	entschuldige dich einfach
just apologize	entschuldigen sie sich einfach
just apologize	entschuldigt euch einfach
just ignore it	ignorier es einfach
just let me go	lass mich einfach gehen
just sign here	nur hier unterschreiben
keep tom quiet	halte tom ruhig
keep tom there	halte tom dort
keep it on you	behalt es bei dir
keep it on you	behaltet es bei euch
keep it on you	behalten sie es bei sich
keep it on you	behalt sie bei dir
keep it on you	behalt ihn bei dir
keep it simple	halte es einfach
keep me posted	halte mich auf dem laufenden
keep me posted	halten sie mich auf dem laufenden
keep searching	such weiter
kids are cruel	kinder sind grausam
kissing is fun	kussen macht spa
large or small	gro oder klein
leave it alone	lass es gut sein
leave it there	lass es dort
leave it there	lasst es dort
leave it there	lassen sie es dort
leave it to me	uberlass das mir
leave it to me	uberlasse das mir
leave it to me	lass mich mich darum kummern
leave it to me	uberlasst das mir
leave it to me	uberlassen sie das mir
leave it to us	uberlass das uns
leave it to us	uberlasst das uns
leave it to us	uberlassen sie das uns
leave me alone	lass mich doch in ruhe
leave me alone	lass mich in ruhe
leave tomorrow	reisen sie morgen ab
leave us alone	lass uns in ruhe
leave us alone	lass uns in frieden
leave us alone	lass uns zufrieden
leave us alone	lass uns allein
leave us alone	lassen sie uns allein
lend us a hand	fass mit an
lend us a hand	geh uns zur hand
lend us a hand	fasst mit an
let tom answer	lass tom antworten
let tom decide	lass tom entscheiden
let tom finish	lass tom fertig machen
let it go tom	lass es los tom
let me do that	lassen sie das mich machen
let me do this	lassen sie das mich machen
let me explain	lass mich erklaren
let me hear it	lass es mich horen
let the boy go	lass den jungen gehen
let the boy go	lass den knaben gehen
let us go home	lass uns nach hause gehen
let us go home	lasst uns nach hause gehen
lets call tom	rufen wir tom an
lets continue	lasst uns weitermachen
lets enjoy it	genieen wir es
lets find tom	suchen wir nach tom
lets find out	finden wir es heraus
lets fire tom	entlassen wir tom
lets go on in	lass uns hineingehen
lets help tom	lass uns tom helfen
lets hurry up	wir sollten uns beeilen
lets meet tom	lass uns tom treffen
lets not play	lasst uns nicht spielen
lets play tag	kommt wir spielen jetzt fangen
lets practice	lasst uns uben
lets sit down	setzen wir uns doch
life is unfair	das leben ist unfair
life is unfair	das leben ist ungerecht
listen closely	hor genau zu
listen to this	hor dir das an
listen to this	hort euch das an
listen to this	horen sie sich das an
listen to this	hor dir das mal an
live and learn	man lernt nie aus
look at my arm	sieh dir meinen arm an
look out there	pass auf da drauen
loosen up tom	werd mal locker tom
louder please	lauter bitte
love takes two	fur die liebe braucht es zwei
lying is wrong	es ist nicht recht zu lugen
make your move	du bist dran
many fish died	viele fische starben
mary is a girl	maria ist ein madchen
mary is blonde	maria ist blond
mary is pretty	maria ist hubsch
mary likes you	maria mag dich
mary likes you	maria mag dich leiden
mary looks hot	maria sieht hei aus
mary looks hot	maria sieht aus aus ob ihr zu hei sei
may i go first	darf ich vorangehen
may i go first	darf ich zuerst gehen
may i help you	kann ich euch helfen
may i help you	kann ich ihnen helfen
may i help you	kann ich dir helfen
may i help you	darf ich dir helfen
may i help you	darf ich euch helfen
may i help you	darf ich ihnen helfen
may i join you	kann ich mich euch anschlieen
may i join you	darf ich mich dazusetzen
may i join you	darf ich mitmachen
may i kiss you	darf ich dich kussen
may i sit down	darf ich mich setzen
may i sit here	kann ich mich hier hinsetzen
may i sit here	kann ich hier sitzen
may i use that	darf ich das benutzen
may i use this	darf ich das verwenden
may i use this	darf ich das hier benutzen
may we go home	durfen wir nach hause gehen
maybe its tom	vielleicht ist es tom
men are greedy	die menschen sind gierig
men are greedy	menschen sind habgierig
men are idiots	manner sind doofkopfe
men are simple	manner sind schlicht
might is right	macht geht vor recht
money is power	geld ist macht
more is needed	es ist mehr notig
mums the word	ich werde es fur mich behalten
mums the word	kein wort von mir
my chest hurts	meine brust tut weh
my desk is old	mein schreibtisch ist alt
my dog bit tom	mein hund hat tom gebissen
my dogs brown	mein hund ist braun
my hair is wet	ich habe feuchtes haar
my heart hurts	mir tut das herz weh
my jaw is sore	mir tut der kiefer weh
my jaw is sore	mein kiefer schmerzt
my joints ache	meine gelenke tun weh
my name is tom	ich heie tom
my name is tom	tom ist mein name
my tires flat	ich habe einen platten
my tooth hurts	mir schmerzt der zahn
my wife is mad	meine frau ist verruckt
my wrist hurts	mir tut das handgelenk weh
never mind tom	mach dir nichts daraus tom
no one cheated	niemand betrog
no one cheated	niemand schummelte
no one is home	es ist niemand zu hause
no one knew it	kein mensch wusste das
no one laughed	niemand lachte
no one saw tom	niemand hat tom gesehen
no one shouted	niemand brullte
no one told me	das hat mir keiner gesagt
no one told me	es hat mich niemand in kenntnis gesetzt
no one told me	es hat mich niemand unterrichtet
nobody laughed	niemand lachte
nobody listens	niemand hort zu
nobody saw tom	niemand hat tom gesehen
nobody told me	das hat mir keiner gesagt
nobody told me	davon hat mir niemand erzahlt
nobody told me	das hat mir niemand erzahlt
nobody told me	das hat mir niemand gesagt
nobodyll know	niemand wirds erfahren
nobodys happy	niemand ist glucklich
nobodys happy	keiner ist glucklich
nobodys there	es ist niemand hier
now i feel bad	jetzt fuhle ich mich schlecht
now i know why	jetzt wei ich warum
now i remember	jetzt erinnere ich mich
now do you see	begreifst du jetzt
now do you see	begreift ihr jetzt
now do you see	begreifen sie jetzt
now dont move	jetzt nicht bewegen
now dont pout	jetzt schmoll nicht
now just relax	jetzt entspann dich einfach
now you owe me	jetzt schuldest du mir etwas
only god knows	gott allein wei es
only god knows	das wei nur gott
only tom knows	das wei nur tom
open the doors	offne die turen
open the doors	offnen sie die turen
open the doors	offnet die turen
open this door	offne diese tur
open this door	offnet diese tur
open this door	offnen sie diese tur
open this door	mach diese tur auf
open this door	macht diese tur auf
open this door	machen sie diese tur auf
open your eyes	offnen sie ihre augen
open your eyes	offnet eure augen
open your eyes	offne die augen
open your eyes	mache deine augen auf
open your eyes	mach deine augen auf
open your hand	offne deine hand
pack your gear	pack dein zeug
people like me	ich bin beliebt
pigs cant fly	schweine konnen nicht fliegen
play us a tune	spiel uns eine melodie
please bill me	bitte machen sie mir die rechnung
please come in	herein bitte
please do that	bitte mach das
please get tom	bitte hol tom
please go away	entferne dich bitte
please go away	gehe bitte weg
please help me	hilf mir bitte
please help me	helfen sie mir bitte
please move on	bitte weitergehen
please open it	offne es bitte
please proceed	bitte fahren sie fort
please say yes	sag bitte ja
please stop it	lass es bitte
please stop it	hort bitte damit auf
please stop it	unterlassen sie das bitte
prepare to die	mache dich bereit zu sterben
prices went up	die preise sind gestiegen
prove it to me	beweis es mir
pull over here	fahren sie hier heran
pull over here	fahre hier heran
read this book	lies dieses buch
read this book	lesen sie dieses buch
read your book	lies dein buch
return at once	komm sofort zuruck
save me a seat	halt mir einen platz frei
save me a seat	haltet mir einen platz frei
save me a seat	halten sie mir einen platz frei
say that again	sag das nochmal
school is over	die schule ist aus
science is fun	wissenschaft macht spa
seals eat fish	robben fressen fische
seals eat fish	robben ernahren sich von fisch
send tom to me	schick tom zu mir
send tom to me	schickt tom zu mir
send tom to me	schicken sie tom zu mir
shall we begin	sollen wir anfangen
shall we begin	sollen wir beginnen
shall we dance	sollen wir tanzen
shall we order	sollen wir bestellen
shall we start	sollen wir anfangen
shall we start	sollen wir beginnen
she adores him	sie findet ihn hinreiend
she adores him	sie schwarmt fur ihn
she adores him	sie verehrt ihn
she adores him	sie betet ihn an
she called him	sie rief ihn an
she came alone	sie kam allein
she cant swim	sie kann nicht schwimmen
she choked him	sie hat ihn erwurgt
she cooks well	sie kocht gut
she cooks well	sie kann gut kochen
she ditched me	sie hat mit mir schluss gemacht
she ditched me	sie hat mir den laufpass gegeben
she ditched me	sie hat mich abserviert
she dumped him	sie hat ihm den laufpass gegeben
she dumped him	sie gab ihm den laufpass
she fooled him	sie hat ihn genarrt
she gave money	sie gab geld
she has a bike	sie hat ein rad
she has a book	sie hat ein buch
she has a cold	sie ist erkaltet
she has a cold	sie hat eine erkaltung
she helped him	sie hat ihm geholfen
she hugged him	sie hat ihn umarmt
she hugged him	sie umarmte ihn
she is a nurse	sie ist krankenschwester
she is a nurse	sie ist krankenpflegerin
she is awkward	sie ist unbeholfen
she is dieting	sie ist auf diat
she is jealous	sie ist eifersuchtig
she is out now	sie ist gerade auer haus
she is out now	sie ist gerade nicht zu hause
she is out now	sie ist gerade nicht am platz
she is running	sie rennt
she is talking	sie spricht gerade
she is talking	sie redet gerade
she is walking	sie geht
she isnt poor	sie ist nicht arm
she kept quiet	sie blieb still
she kicked him	sie hat ihn getreten
she kissed him	sie hat ihn gekusst
she kissed him	sie kusste ihn
she liked that	das gefiel ihr
she likes wine	sie mag wein
she looked sad	sie sah traurig aus
she loves cake	sie ist ganz wild auf kuchen
she loves cats	sie liebt katzen
she might come	sie kommt vielleicht
she might come	vielleicht kommt sie
she might come	sie wird vielleicht kommen
she misses him	sie vermisst ihn
she misses him	er fehlt ihr
she plays bach	sie spielt bach
she seems rich	sie scheint reich zu sein
she shot a gun	sie gab einen schuss ab
she sings well	sie singt gut
she smells bad	sie riecht ubel
she teased him	sie argerte ihn
she trusted me	sie vertraute mir
she trusts him	sie vertraut ihm
she types well	sie tippt gut
she was crying	sie weinte
she went blind	sie erblindete
she went blind	sie wurde blind
